Model	df	logLik	AIC	BIC
1	JC	21	-10696.2250448273	21434.4500896547	21564.7539381201
2	F81	24	-10634.0162093986	21316.0324187971	21464.9511027576
3	K80	22	-10482.9049329938	21009.8098659877	21146.3186596181
4	HKY	25	-10411.0591903216	20872.1183806433	21027.2420097687
5	SYM	26	-10474.2127066761	21000.4254133523	21161.7539876428
6	GTR	29	-10398.9596423727	20855.9192847454	21035.8626945309
